"Series_Reference","Period","Data_Value","Status Code","Type","Group","Description"
"CPIQ.SE904301PPCA","2023.09",0.027,"FINAL","Percentage points contribution annual","Class","Property maintenance materials"
"CPIQ.SE904301PPCP","2023.09",0.005,"FINAL","Percentage points contribution quarterly","Class","Property maintenance materials"
"CPIQ.SE904302","2023.09",1309,"FINAL","Main CPI","Class","Property maintenance services"
"CPIQ.SE904302IPCA","2023.09",0.75,"FINAL","Index point contribution annual","Class","Property maintenance services"
"CPIQ.SE904302IPCP","2023.09",0.13,"FINAL","Index point contribution quarterly","Class","Property maintenance services"
"CPIQ.SE904302PCCA","2023.09",1.1,"FINAL","Percentage contribution annual","Class","Property maintenance services"
"CPIQ.SE904302PCCP","2023.09",0.6,"FINAL","Percentage contribution quarterly","Class","Property maintenance services"
"CPIQ.SE904302PPCA","2023.09",0.064,"FINAL","Percentage points contribution annual","Class","Property maintenance services"
"CPIQ.SE904302PPCP","2023.09",0.011,"FINAL","Percentage points contribution quarterly","Class","Property maintenance services"
"CPIQ.SE9043IPCA","2023.09",1.07,"FINAL","Index point contribution annual","Subgroup","Property maintenance"
"CPIQ.SE9043IPCP","2023.09",0.18,"FINAL","Index point contribution quarterly","Subgroup","Property maintenance"
"CPIQ.SE9043PCCA","2023.09",1.6,"FINAL","Percentage contribution annual","Subgroup","Property maintenance"
"CPIQ.SE9043PCCP","2023.09",0.8,"FINAL","Percentage contribution quarterly","Subgroup","Property maintenance"
"CPIQ.SE9043PPCA","2023.09",0.091,"FINAL","Percentage points contribution annual","Subgroup","Property maintenance"
"CPIQ.SE9043PPCP","2023.09",0.015,"FINAL","Percentage points contribution quarterly","Subgroup","Property maintenance"
"CPIQ.SE9044","2023.09",1466,"FINAL","Main CPI","Subgroup","Property rates and related services"
"CPIQ.SE904401","2023.09",1377,"FINAL","Main CPI","Class","Water supply"
"CPIQ.SE904401IPCA","2023.09",0.4,"FINAL","Index point contribution annual","Class","Water supply"
"CPIQ.SE904401IPCP","2023.09",0.4,"FINAL","Index point contribution quarterly","Class","Water supply"
"CPIQ.SE904401PCCA","2023.09",0.6,"FINAL","Percentage contribution annual","Class","Water supply"
"CPIQ.SE904401PCCP","2023.09",1.8,"FINAL","Percentage contribution quarterly","Class","Water supply"
"CPIQ.SE904401PPCA","2023.09",0.034,"FINAL","Percentage points contribution annual","Class","Water supply"
"CPIQ.SE904401PPCP","2023.09",0.033,"FINAL","Percentage points contribution quarterly","Class","Water supply"
"CPIQ.SE904402","2023.09",1396,"FINAL","Main CPI","Class","Refuse disposal and recycling"
"CPIQ.SE904402IPCA","2023.09",0.12,"FINAL","Index point contribution annual","Class","Refuse disposal and recycling"
"CPIQ.SE904402IPCP","2023.09",0.06,"FINAL","Index point contribution quarterly","Class","Refuse disposal and recycling"
"CPIQ.SE904402PCCA","2023.09",0.2,"FINAL","Percentage contribution annual","Class","Refuse disposal and recycling"
"CPIQ.SE904402PCCP","2023.09",0.3,"FINAL","Percentage contribution quarterly","Class","Refuse disposal and recycling"
"CPIQ.SE904402PPCA","2023.09",0.01,"FINAL","Percentage points contribution annual","Class","Refuse disposal and recycling"
"CPIQ.SE904402PPCP","2023.09",0.005,"FINAL","Percentage points contribution quarterly","Class","Refuse disposal and recycling"
"CPIQ.SE904403","2023.09",1484,"FINAL","Main CPI","Class","Local authority rates and payments"
"CPIQ.SE904403IPCA","2023.09",3.2,"FINAL","Index point contribution annual","Class","Local authority rates and payments"
"CPIQ.SE904403IPCP","2023.09",3.2,"FINAL","Index point contribution quarterly","Class","Local authority rates and payments"
"CPIQ.SE904403PCCA","2023.09",4.8,"FINAL","Percentage contribution annual","Class","Local authority rates and payments"
"CPIQ.SE904403PCCP","2023.09",14.7,"FINAL","Percentage contribution quarterly","Class","Local authority rates and payments"
"CPIQ.SE904403PPCA","2023.09",0.271,"FINAL","Percentage points contribution annual","Class","Local authority rates and payments"
"CPIQ.SE904403PPCP","2023.09",0.265,"FINAL","Percentage points contribution quarterly","Class","Local authority rates and payments"
"CPIQ.SE904404","2023.09",1156,"FINAL","Main CPI","Class","Other property related services"
"CPIQ.SE904404IPCA","2023.09",0,"FINAL","Index point contribution annual","Class","Other property related services"
"CPIQ.SE904404IPCP","2023.09",0,"FINAL","Index point contribution quarterly","Class","Other property related services"
"CPIQ.SE904404PCCA","2023.09",0,"FINAL","Percentage contribution annual","Class","Other property related services"
"CPIQ.SE904404PCCP","2023.09",0,"FINAL","Percentage contribution quarterly","Class","Other property related services"
"CPIQ.SE904404PPCA","2023.09",0,"FINAL","Percentage points contribution annual","Class","Other property related services"
"CPIQ.SE904404PPCP","2023.09",0,"FINAL","Percentage points contribution quarterly","Class","Other property related services"
"CPIQ.SE9044IPCA","2023.09",3.72,"FINAL","Index point contribution annual","Subgroup","Property rates and related services"
"CPIQ.SE9044IPCP","2023.09",3.66,"FINAL","Index point contribution quarterly","Subgroup","Property rates and related services"
"CPIQ.SE9044PCCA","2023.09",5.5,"FINAL","Percentage contribution annual","Subgroup","Property rates and related services"
"CPIQ.SE9044PCCP","2023.09",16.9,"FINAL","Percentage contribution quarterly","Subgroup","Property rates and related services"
"CPIQ.SE9044PPCA","2023.09",0.315,"FINAL","Percentage points contribution annual","Subgroup","Property rates and related services"
"CPIQ.SE9044PPCP","2023.09",0.303,"FINAL","Percentage points contribution quarterly","Subgroup","Property rates and related services"
"CPIQ.SE9045","2023.09",1115,"FINAL","Main CPI","Subgroup","Household energy"
"CPIQ.SE904501","2023.09",1094,"FINAL","Main CPI","Class","Electricity"
"CPIQ.SE904501IPCA","2023.09",1.33,"FINAL","Index point contribution annual","Class","Electricity"
"CPIQ.SE904501IPCP","2023.09",-0.6,"FINAL","Index point contribution quarterly","Class","Electricity"
"CPIQ.SE904501PCCA","2023.09",2,"FINAL","Percentage contribution annual","Class","Electricity"
"CPIQ.SE904501PCCP","2023.09",-2.8,"FINAL","Percentage contribution quarterly","Class","Electricity"
"CPIQ.SE904501PPCA","2023.09",0.112,"FINAL","Percentage points contribution annual","Class","Electricity"
"CPIQ.SE904501PPCP","2023.09",-0.05,"FINAL","Percentage points contribution quarterly","Class","Electricity"
"CPIQ.SE904502","2023.09",1245,"FINAL","Main CPI","Class","Gas"
"CPIQ.SE904502IPCA","2023.09",0.44,"FINAL","Index point contribution annual","Class","Gas"
"CPIQ.SE904502IPCP","2023.09",0.12,"FINAL","Index point contribution quarterly","Class","Gas"
"CPIQ.SE904502PCCA","2023.09",0.7,"FINAL","Percentage contribution annual","Class","Gas"
"CPIQ.SE904502PCCP","2023.09",0.6,"FINAL","Percentage contribution quarterly","Class","Gas"
"CPIQ.SE904502PPCA","2023.09",0.038,"FINAL","Percentage points contribution annual","Class","Gas"
"CPIQ.SE904502PPCP","2023.09",0.01,"FINAL","Percentage points contribution quarterly","Class","Gas"
"CPIQ.SE904503","2023.09",1340,"FINAL","Main CPI","Class","Solid fuels"
"CPIQ.SE904503IPCA","2023.09",0.1,"FINAL","Index point contribution annual","Class","Solid fuels"
"CPIQ.SE904503IPCP","2023.09",0.03,"FINAL","Index point contribution quarterly","Class","Solid fuels"
"CPIQ.SE904503PCCA","2023.09",0.2,"FINAL","Percentage contribution annual","Class","Solid fuels"
"CPIQ.SE904503PCCP","2023.09",0.1,"FINAL","Percentage contribution quarterly","Class","Solid fuels"
"CPIQ.SE904503PPCA","2023.09",0.009,"FINAL","Percentage points contribution annual","Class","Solid fuels"
"CPIQ.SE904503PPCP","2023.09",0.002,"FINAL","Percentage points contribution quarterly","Class","Solid fuels"
"CPIQ.SE9045IPCA","2023.09",1.87,"FINAL","Index point contribution annual","Subgroup","Household energy"
"CPIQ.SE9045IPCP","2023.09",-0.45,"FINAL","Index point contribution quarterly","Subgroup","Household energy"
"CPIQ.SE9045PCCA","2023.09",2.8,"FINAL","Percentage contribution annual","Subgroup","Household energy"
"CPIQ.SE9045PCCP","2023.09",-2.1,"FINAL","Percentage contribution quarterly","Subgroup","Household energy"
"CPIQ.SE9045PPCA","2023.09",0.159,"FINAL","Percentage points contribution annual","Subgroup","Household energy"
"CPIQ.SE9045PPCP","2023.09",-0.037,"FINAL","Percentage points contribution quarterly","Subgroup","Household energy"
"CPIQ.SE904IPCA","2023.09",17.61,"FINAL","Index point contribution annual","Group","Housing and household utilities"
"CPIQ.SE904IPCP","2023.09",5.55,"FINAL","Index point contribution quarterly","Group","Housing and household utilities"
"CPIQ.SE904PCCA","2023.09",26.2,"FINAL","Percentage contribution annual","Group","Housing and household utilities"
"CPIQ.SE904PCCP","2023.09",25.6,"FINAL","Percentage contribution quarterly","Group","Housing and household utilities"
"CPIQ.SE904PPCA","2023.09",1.492,"FINAL","Percentage points contribution annual","Group","Housing and household utilities"
"CPIQ.SE904PPCP","2023.09",0.461,"FINAL","Percentage points contribution quarterly","Group","Housing and household utilities"
"CPIQ.SE905","2023.09",1173,"FINAL","Main CPI","Group","Household contents and services"
"CPIQ.SE9051","2023.09",1197,"FINAL","Main CPI","Subgroup","Furniture, furnishings and floor coverings"
"CPIQ.SE905101","2023.09",1213,"FINAL","Main CPI","Class","Furniture and furnishings"
"CPIQ.SE905101IPCA","2023.09",0.25,"FINAL","Index point contribution annual","Class","Furniture and furnishings"
"CPIQ.SE905101IPCP","2023.09",-0.1,"FINAL","Index point contribution quarterly","Class","Furniture and furnishings"
"CPIQ.SE905101PCCA","2023.09",0.4,"FINAL","Percentage contribution annual","Class","Furniture and furnishings"
"CPIQ.SE905101PCCP","2023.09",-0.4,"FINAL","Percentage contribution quarterly","Class","Furniture and furnishings"
"CPIQ.SE905101PPCA","2023.09",0.021,"FINAL","Percentage points contribution annual","Class","Furniture and furnishings"
"CPIQ.SE905101PPCP","2023.09",-0.008,"FINAL","Percentage points contribution quarterly","Class","Furniture and furnishings"
"CPIQ.SE905102","2023.09",1146,"FINAL","Main CPI","Class","Carpets and other floor coverings"
"CPIQ.SE905102IPCA","2023.09",0.11,"FINAL","Index point contribution annual","Class","Carpets and other floor coverings"
"CPIQ.SE905102IPCP","2023.09",-0.08,"FINAL","Index point contribution quarterly","Class","Carpets and other floor coverings"
"CPIQ.SE905102PCCA","2023.09",0.2,"FINAL","Percentage contribution annual","Class","Carpets and other floor coverings"
"CPIQ.SE905102PCCP","2023.09",-0.4,"FINAL","Percentage contribution quarterly","Class","Carpets and other floor coverings"
"CPIQ.SE905102PPCA","2023.09",0.009,"FINAL","Percentage points contribution annual","Class","Carpets and other floor coverings"
"CPIQ.SE905102PPCP","2023.09",-0.007,"FINAL","Percentage points contribution quarterly","Class","Carpets and other floor coverings"
"CPIQ.SE9051IPCA","2023.09",0.36,"FINAL","Index point contribution annual","Subgroup","Furniture, furnishings and floor coverings"
"CPIQ.SE9051IPCP","2023.09",-0.18,"FINAL","Index point contribution quarterly","Subgroup","Furniture, furnishings and floor coverings"
"CPIQ.SE9051PCCA","2023.09",0.5,"FINAL","Percentage contribution annual","Subgroup","Furniture, furnishings and floor coverings"
"CPIQ.SE9051PCCP","2023.09",-0.8,"FINAL","Percentage contribution quarterly","Subgroup","Furniture, furnishings and floor coverings"
"CPIQ.SE9051PPCA","2023.09",0.031,"FINAL","Percentage points contribution annual","Subgroup","Furniture, furnishings and floor coverings"
"CPIQ.SE9051PPCP","2023.09",-0.015,"FINAL","Percentage points contribution quarterly","Subgroup","Furniture, furnishings and floor coverings"
"CPIQ.SE9052","2023.09",1056,"FINAL","Main CPI","Subgroup","Household textiles"
"CPIQ.SE905200","2023.09",1056,"FINAL","Main CPI","Class","Household textiles"
"CPIQ.SE905200IPCA","2023.09",0.1,"FINAL","Index point contribution annual","Class","Household textiles"
"CPIQ.SE905200IPCP","2023.09",-0.11,"FINAL","Index point contribution quarterly","Class","Household textiles"
"CPIQ.SE905200PCCA","2023.09",0.2,"FINAL","Percentage contribution annual","Class","Household textiles"
"CPIQ.SE905200PCCP","2023.09",-0.5,"FINAL","Percentage contribution quarterly","Class","Household textiles"
"CPIQ.SE905200PPCA","2023.09",0.009,"FINAL","Percentage points contribution annual","Class","Household textiles"
"CPIQ.SE905200PPCP","2023.09",-0.009,"FINAL","Percentage points contribution quarterly","Class","Household textiles"
"CPIQ.SE9052IPCA","2023.09",0.1,"FINAL","Index point contribution annual","Subgroup","Household textiles"
"CPIQ.SE9052IPCP","2023.09",-0.11,"FINAL","Index point contribution quarterly","Subgroup","Household textiles"
"CPIQ.SE9052PCCA","2023.09",0.2,"FINAL","Percentage contribution annual","Subgroup","Household textiles"
"CPIQ.SE9052PCCP","2023.09",-0.5,"FINAL","Percentage contribution quarterly","Subgroup","Household textiles"
"CPIQ.SE9052PPCA","2023.09",0.009,"FINAL","Percentage points contribution annual","Subgroup","Household textiles"
"CPIQ.SE9052PPCP","2023.09",-0.009,"FINAL","Percentage points contribution quarterly","Subgroup","Household textiles"
"CPIQ.SE9053","2023.09",1078,"FINAL","Main CPI","Subgroup","Household appliances"
"CPIQ.SE905301","2023.09",1062,"FINAL","Main CPI","Class","Major household appliances"
"CPIQ.SE905301IPCA","2023.09",0.14,"FINAL","Index point contribution annual","Class","Major household appliances"
"CPIQ.SE905301IPCP","2023.09",-0.24,"FINAL","Index point contribution quarterly","Class","Major household appliances"
"CPIQ.SE905301PCCA","2023.09",0.2,"FINAL","Percentage contribution annual","Class","Major household appliances"
"CPIQ.SE905301PCCP","2023.09",-1.1,"FINAL","Percentage contribution quarterly","Class","Major household appliances"
"CPIQ.SE905301PPCA","2023.09",0.012,"FINAL","Percentage points contribution annual","Class","Major household appliances"
"CPIQ.SE905301PPCP","2023.09",-0.02,"FINAL","Percentage points contribution quarterly","Class","Major household appliances"
"CPIQ.SE905302","2023.09",1050,"FINAL","Main CPI","Class","Small electrical household appliances"
"CPIQ.SE905302IPCA","2023.09",-0.02,"FINAL","Index point contribution annual","Class","Small electrical household appliances"
"CPIQ.SE905302IPCP","2023.09",0,"FINAL","Index point contribution quarterly","Class","Small electrical household appliances"
"CPIQ.SE905302PCCA","2023.09",0,"FINAL","Percentage contribution annual","Class","Small electrical household appliances"
"CPIQ.SE905302PCCP","2023.09",0,"FINAL","Percentage contribution quarterly","Class","Small electrical household appliances"
"CPIQ.SE905302PPCA","2023.09",-0.001,"FINAL","Percentage points contribution annual","Class","Small electrical household appliances"
"CPIQ.SE905302PPCP","2023.09",0,"FINAL","Percentage points contribution quarterly","Class","Small electrical household appliances"
"CPIQ.SE905303","2023.09",1375,"FINAL","Main CPI","Class","Repair and hire of household appliances"
"CPIQ.SE905303IPCA","2023.09",0.03,"FINAL","Index point contribution annual","Class","Repair and hire of household appliances"
"CPIQ.SE905303IPCP","2023.09",0,"FINAL","Index point contribution quarterly","Class","Repair and hire of household appliances"
"CPIQ.SE905303PCCA","2023.09",0,"FINAL","Percentage contribution annual","Class","Repair and hire of household appliances"
"CPIQ.SE905303PCCP","2023.09",0,"FINAL","Percentage contribution quarterly","Class","Repair and hire of household appliances"
"CPIQ.SE905303PPCA","2023.09",0.003,"FINAL","Percentage points contribution annual","Class","Repair and hire of household appliances"
"CPIQ.SE905303PPCP","2023.09",0,"FINAL","Percentage points contribution quarterly","Class","Repair and hire of household appliances"
"CPIQ.SE9053IPCA","2023.09",0.16,"FINAL","Index point contribution annual","Subgroup","Household appliances"
"CPIQ.SE9053IPCP","2023.09",-0.24,"FINAL","Index point contribution quarterly","Subgroup","Household appliances"
"CPIQ.SE9053PCCA","2023.09",0.2,"FINAL","Percentage contribution annual","Subgroup","Household appliances"
"CPIQ.SE9053PCCP","2023.09",-1.1,"FINAL","Percentage contribution quarterly","Subgroup","Household appliances"
"CPIQ.SE9053PPCA","2023.09",0.013,"FINAL","Percentage points contribution annual","Subgroup","Household appliances"
"CPIQ.SE9053PPCP","2023.09",-0.02,"FINAL","Percentage points contribution quarterly","Subgroup","Household appliances"
"CPIQ.SE9054","2023.09",1100,"FINAL","Main CPI","Subgroup","Glassware, tableware and household utensils"
"CPIQ.SE905400","2023.09",1100,"FINAL","Main CPI","Class","Glassware, tableware and household utensils"
"CPIQ.SE905400IPCA","2023.09",0.08,"FINAL","Index point contribution annual","Class","Glassware, tableware and household utensils"
"CPIQ.SE905400IPCP","2023.09",-0.14,"FINAL","Index point contribution quarterly","Class","Glassware, tableware and household utensils"
"CPIQ.SE905400PCCA","2023.09",0.1,"FINAL","Percentage contribution annual","Class","Glassware, tableware and household utensils"
"CPIQ.SE905400PCCP","2023.09",-0.6,"FINAL","Percentage contribution quarterly","Class","Glassware, tableware and household utensils"
"CPIQ.SE905400PPCA","2023.09",0.007,"FINAL","Percentage points contribution annual","Class","Glassware, tableware and household utensils"
"CPIQ.SE905400PPCP","2023.09",-0.011,"FINAL","Percentage points contribution quarterly","Class","Glassware, tableware and household utensils"
"CPIQ.SE9054IPCA","2023.09",0.08,"FINAL","Index point contribution annual","Subgroup","Glassware, tableware and household utensils"
"CPIQ.SE9054IPCP","2023.09",-0.14,"FINAL","Index point contribution quarterly","Subgroup","Glassware, tableware and household utensils"
"CPIQ.SE9054PCCA","2023.09",0.1,"FINAL","Percentage contribution annual","Subgroup","Glassware, tableware and household utensils"
"CPIQ.SE9054PCCP","2023.09",-0.6,"FINAL","Percentage contribution quarterly","Subgroup","Glassware, tableware and household utensils"
"CPIQ.SE9054PPCA","2023.09",0.007,"FINAL","Percentage points contribution annual","Subgroup","Glassware, tableware and household utensils"
"CPIQ.SE9054PPCP","2023.09",-0.011,"FINAL","Percentage points contribution quarterly","Subgroup","Glassware, tableware and household utensils"
"CPIQ.SE9055","2023.09",1188,"FINAL","Main CPI","Subgroup","Tools and equipment for house and garden"
"CPIQ.SE905501","2023.09",1096,"FINAL","Main CPI","Class","Major tools and equipment for the house and garden"
"CPIQ.SE905501IPCA","2023.09",0.04,"FINAL","Index point contribution annual","Class","Major tools and equipment for the house and garden"
"CPIQ.SE905501IPCP","2023.09",0.01,"FINAL","Index point contribution quarterly","Class","Major tools and equipment for the house and garden"
"CPIQ.SE905501PCCA","2023.09",0.1,"FINAL","Percentage contribution annual","Class","Major tools and equipment for the house and garden"
"CPIQ.SE905501PCCP","2023.09",0,"FINAL","Percentage contribution quarterly","Class","Major tools and equipment for the house and garden"
"CPIQ.SE905501PPCA","2023.09",0.003,"FINAL","Percentage points contribution annual","Class","Major tools and equipment for the house and garden"
"CPIQ.SE905501PPCP","2023.09",0.001,"FINAL","Percentage points contribution quarterly","Class","Major tools and equipment for the house and garden"
"CPIQ.SE905502","2023.09",1245,"FINAL","Main CPI","Class","Small tools and accessories for the house and gard"
"CPIQ.SE905502IPCA","2023.09",0.31,"FINAL","Index point contribution annual","Class","Small tools and accessories for the house and gard"
"CPIQ.SE905502IPCP","2023.09",-0.01,"FINAL","Index point contribution quarterly","Class","Small tools and accessories for the house and gard"
"CPIQ.SE905502PCCA","2023.09",0.5,"FINAL","Percentage contribution annual","Class","Small tools and accessories for the house and gard"
"CPIQ.SE905502PCCP","2023.09",0,"FINAL","Percentage contribution quarterly","Class","Small tools and accessories for the house and gard"
"CPIQ.SE905502PPCA","2023.09",0.026,"FINAL","Percentage points contribution annual","Class","Small tools and accessories for the house and gard"
"CPIQ.SE905502PPCP","2023.09",-0.001,"FINAL","Percentage points contribution quarterly","Class","Small tools and accessories for the house and gard"
"CPIQ.SE9055IPCA","2023.09",0.35,"FINAL","Index point contribution annual","Subgroup","Tools and equipment for house and garden"
"CPIQ.SE9055IPCP","2023.09",0,"FINAL","Index point contribution quarterly","Subgroup","Tools and equipment for house and garden"
"CPIQ.SE9055PCCA","2023.09",0.5,"FINAL","Percentage contribution annual","Subgroup","Tools and equipment for house and garden"
"CPIQ.SE9055PCCP","2023.09",0,"FINAL","Percentage contribution quarterly","Subgroup","Tools and equipment for house and garden"
"CPIQ.SE9055PPCA","2023.09",0.03,"FINAL","Percentage points contribution annual","Subgroup","Tools and equipment for house and garden"
"CPIQ.SE9055PPCP","2023.09",0,"FINAL","Percentage points contribution quarterly","Subgroup","Tools and equipment for house and garden"
"CPIQ.SE9056","2023.09",1291,"FINAL","Main CPI","Subgroup","Other household supplies and services"
"CPIQ.SE905601","2023.09",1231,"FINAL","Main CPI","Class","Cleaning products and other household supplies"
"CPIQ.SE905601IPCA","2023.09",0.61,"FINAL","Index point contribution annual","Class","Cleaning products and other household supplies"
"CPIQ.SE905601IPCP","2023.09",-0.14,"FINAL","Index point contribution quarterly","Class","Cleaning products and other household supplies"
"CPIQ.SE905601PCCA","2023.09",0.9,"FINAL","Percentage contribution annual","Class","Cleaning products and other household supplies"
"CPIQ.SE905601PCCP","2023.09",-0.7,"FINAL","Percentage contribution quarterly","Class","Cleaning products and other household supplies"
"CPIQ.SE905601PPCA","2023.09",0.052,"FINAL","Percentage points contribution annual","Class","Cleaning products and other household supplies"
"CPIQ.SE905601PPCP","2023.09",-0.012,"FINAL","Percentage points contribution quarterly","Class","Cleaning products and other household supplies"
"CPIQ.SE905602","2023.09",1395,"FINAL","Main CPI","Class","Other household services"
"CPIQ.SE905602IPCA","2023.09",0.26,"FINAL","Index point contribution annual","Class","Other household services"
"CPIQ.SE905602IPCP","2023.09",0.08,"FINAL","Index point contribution quarterly","Class","Other household services"
"CPIQ.SE905602PCCA","2023.09",0.4,"FINAL","Percentage contribution annual","Class","Other household services"
"CPIQ.SE905602PCCP","2023.09",0.4,"FINAL","Percentage contribution quarterly","Class","Other household services"
"CPIQ.SE905602PPCA","2023.09",0.022,"FINAL","Percentage points contribution annual","Class","Other household services"
"CPIQ.SE905602PPCP","2023.09",0.006,"FINAL","Percentage points contribution quarterly","Class","Other household services"
"CPIQ.SE9056IPCA","2023.09",0.88,"FINAL","Index point contribution annual","Subgroup","Other household supplies and services"
"CPIQ.SE9056IPCP","2023.09",-0.06,"FINAL","Index point contribution quarterly","Subgroup","Other household supplies and services"
"CPIQ.SE9056PCCA","2023.09",1.3,"FINAL","Percentage contribution annual","Subgroup","Other household supplies and services"
"CPIQ.SE9056PCCP","2023.09",-0.3,"FINAL","Percentage contribution quarterly","Subgroup","Other household supplies and services"
"CPIQ.SE9056PPCA","2023.09",0.074,"FINAL","Percentage points contribution annual","Subgroup","Other household supplies and services"
"CPIQ.SE9056PPCP","2023.09",-0.005,"FINAL","Percentage points contribution quarterly","Subgroup","Other household supplies and services"
"CPIQ.SE905IPCA","2023.09",1.93,"FINAL","Index point contribution annual","Group","Household contents and services"
"CPIQ.SE905IPCP","2023.09",-0.73,"FINAL","Index point contribution quarterly","Group","Household contents and services"
"CPIQ.SE905PCCA","2023.09",2.9,"FINAL","Percentage contribution annual","Group","Household contents and services"
"CPIQ.SE905PCCP","2023.09",-3.4,"FINAL","Percentage contribution quarterly","Group","Household contents and services"
"CPIQ.SE905PPCA","2023.09",0.164,"FINAL","Percentage points contribution annual","Group","Household contents and services"
"CPIQ.SE905PPCP","2023.09",-0.061,"FINAL","Percentage points contribution quarterly","Group","Household contents and services"
"CPIQ.SE906","2023.09",1143,"FINAL","Main CPI","Group","Health"
"CPIQ.SE9061","2023.09",970,"FINAL","Main CPI","Subgroup","Medical products, appliances and equipment"
"CPIQ.SE906101","2023.09",909,"FINAL","Main CPI","Class","Pharmaceutical products"
"CPIQ.SE906101IPCA","2023.09",-0.76,"FINAL","Index point contribution annual","Class","Pharmaceutical products"
"CPIQ.SE906101IPCP","2023.09",-1.05,"FINAL","Index point contribution quarterly","Class","Pharmaceutical products"
"CPIQ.SE906101PCCA","2023.09",-1.1,"FINAL","Percentage contribution annual","Class","Pharmaceutical products"
"CPIQ.SE906101PCCP","2023.09",-4.9,"FINAL","Percentage contribution quarterly","Class","Pharmaceutical products"
"CPIQ.SE906101PPCA","2023.09",-0.064,"FINAL","Percentage points contribution annual","Class","Pharmaceutical products"
"CPIQ.SE906101PPCP","2023.09",-0.087,"FINAL","Percentage points contribution quarterly","Class","Pharmaceutical products"
"CPIQ.SE906102","2023.09",1098,"FINAL","Main CPI","Class","Other medical products"
"CPIQ.SE906102IPCA","2023.09",0.05,"FINAL","Index point contribution annual","Class","Other medical products"
"CPIQ.SE906102IPCP","2023.09",0,"FINAL","Index point contribution quarterly","Class","Other medical products"
"CPIQ.SE906102PCCA","2023.09",0.1,"FINAL","Percentage contribution annual","Class","Other medical products"
"CPIQ.SE906102PCCP","2023.09",0,"FINAL","Percentage contribution quarterly","Class","Other medical products"
"CPIQ.SE906102PPCA","2023.09",0.004,"FINAL","Percentage points contribution annual","Class","Other medical products"
"CPIQ.SE906102PPCP","2023.09",0,"FINAL","Percentage points contribution quarterly","Class","Other medical products"
"CPIQ.SE906103","2023.09",1069,"FINAL","Main CPI","Class","Therapeutic appliances and equipment"
"CPIQ.SE906103IPCA","2023.09",0.13,"FINAL","Index point contribution annual","Class","Therapeutic appliances and equipment"
"CPIQ.SE906103IPCP","2023.09",0.04,"FINAL","Index point contribution quarterly","Class","Therapeutic appliances and equipment"
"CPIQ.SE906103PCCA","2023.09",0.2,"FINAL","Percentage contribution annual","Class","Therapeutic appliances and equipment"
"CPIQ.SE906103PCCP","2023.09",0.2,"FINAL","Percentage contribution quarterly","Class","Therapeutic appliances and equipment"
"CPIQ.SE906103PPCA","2023.09",0.011,"FINAL","Percentage points contribution annual","Class","Therapeutic appliances and equipment"
"CPIQ.SE906103PPCP","2023.09",0.003,"FINAL","Percentage points contribution quarterly","Class","Therapeutic appliances and equipment"
"CPIQ.SE9061IPCA","2023.09",-0.58,"FINAL","Index point contribution annual","Subgroup","Medical products, appliances and equipment"
"CPIQ.SE9061IPCP","2023.09",-1.01,"FINAL","Index point contribution quarterly","Subgroup","Medical products, appliances and equipment"
"CPIQ.SE9061PCCA","2023.09",-0.9,"FINAL","Percentage contribution annual","Subgroup","Medical products, appliances and equipment"
"CPIQ.SE9061PCCP","2023.09",-4.7,"FINAL","Percentage contribution quarterly","Subgroup","Medical products, appliances and equipment"
"CPIQ.SE9061PPCA","2023.09",-0.049,"FINAL","Percentage points contribution annual","Subgroup","Medical products, appliances and equipment"
"CPIQ.SE9061PPCP","2023.09",-0.084,"FINAL","Percentage points contribution quarterly","Subgroup","Medical products, appliances and equipment"
"CPIQ.SE9062","2023.09",1195,"FINAL","Main CPI","Subgroup","Out-patient services"
"CPIQ.SE906201","2023.09",1147,"FINAL","Main CPI","Class","Medical services"
"CPIQ.SE906201IPCA","2023.09",0.73,"FINAL","Index point contribution annual","Class","Medical services"
"CPIQ.SE906201IPCP","2023.09",0.26,"FINAL","Index point contribution quarterly","Class","Medical services"
"CPIQ.SE906201PCCA","2023.09",1.1,"FINAL","Percentage contribution annual","Class","Medical services"
"CPIQ.SE906201PCCP","2023.09",1.2,"FINAL","Percentage contribution quarterly","Class","Medical services"
"CPIQ.SE906201PPCA","2023.09",0.062,"FINAL","Percentage points contribution annual","Class","Medical services"
"CPIQ.SE906201PPCP","2023.09",0.022,"FINAL","Percentage points contribution quarterly","Class","Medical services"
"CPIQ.SE906202","2023.09",1268,"FINAL","Main CPI","Class","Dental services"
"CPIQ.SE906202IPCA","2023.09",0.53,"FINAL","Index point contribution annual","Class","Dental services"
"CPIQ.SE906202IPCP","2023.09",0.02,"FINAL","Index point contribution quarterly","Class","Dental services"
"CPIQ.SE906202PCCA","2023.09",0.8,"FINAL","Percentage contribution annual","Class","Dental services"
"CPIQ.SE906202PCCP","2023.09",0.1,"FINAL","Percentage contribution quarterly","Class","Dental services"
"CPIQ.SE906202PPCA","2023.09",0.045,"FINAL","Percentage points contribution annual","Class","Dental services"
"CPIQ.SE906202PPCP","2023.09",0.002,"FINAL","Percentage points contribution quarterly","Class","Dental services"
"CPIQ.SE906203","2023.09",1228,"FINAL","Main CPI","Class","Paramedical services"
"CPIQ.SE906203IPCA","2023.09",0.02,"FINAL","Index point contribution annual","Class","Paramedical services"
